sala_id,lote_id,linea,direccion,ocurrido_en,recibido_en,confianza,track_id_local
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:14:20.483973-05:00,2026-08-24T06:14:22.257216-05:00,0.943,9308
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:14:20.483973-05:00,2026-08-24T06:14:21.584901-05:00,0.824,8668
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:16:24.095014-05:00,2026-08-24T06:16:27.040720-05:00,0.848,1726
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:17:37.501091-05:00,2026-08-24T06:17:40.243774-05:00,0.906,1219
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:18:19.233403-05:00,2026-08-24T06:18:21.550686-05:00,0.89,4257
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:18:33.640764-05:00,2026-08-24T06:18:34.826366-05:00,0.837,869
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:18:59.695791-05:00,2026-08-24T06:19:02.671226-05:00,0.895,871
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:19:13.758358-05:00,2026-08-24T06:19:14.616740-05:00,0.897,1243
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:20:11.296565-05:00,2026-08-24T06:20:13.064154-05:00,0.918,2999
REG-CE-01,e1dbb8ce-c582-4db2-b8dc-1723c460bcc5,ENTRADA_SALA,IN,2026-08-24T06:20:40.966466-05:00,2026-08-24T06:20:42.604428-05:00,0.8,7117
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:24:18.195602-05:00,2026-08-24T06:24:20.830605-05:00,0.983,2579
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:24:22.104980-05:00,2026-08-24T06:24:24.267236-05:00,0.766,5231
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:24:52.891601-05:00,2026-08-24T06:24:55.517098-05:00,0.913,7691
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:24:57.911634-05:00,2026-08-24T06:25:00.225194-05:00,0.822,3030
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:25:49.454593-05:00,2026-08-24T06:25:51.287950-05:00,0.922,9049
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:26:36.760155-05:00,2026-08-24T06:26:39.371166-05:00,0.764,9764
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:27:43.955334-05:00,2026-08-24T06:27:46.169493-05:00,0.767,2259
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:28:35.222022-05:00,2026-08-24T06:28:37.608771-05:00,0.889,7591
REG-CE-01,3f92b32d-9709-43f0-9c61-a6a7986a06e5,ENTRADA_SALA,IN,2026-08-24T06:28:49.279535-05:00,2026-08-24T06:28:51.112960-05:00,0.796,3675
